Month,Day,Max,Min,Liquid,Snow,Depth
3,1,63,44,0.00,0.00,0.00
3,2,62,44,0.30,0.00,0.00
3,3,65,38,,,
3,4,42,26,0.80,0.80,0.80
3,5,40,29,0.00,0.00,0.00
3,6,40,29,0.00,0.00,0.00
3,7,44,34,0.00,0.00,0.00
3,8,62,35,0.00,0.00,0.00
3,9,82,36,0.00,0.00,0.00
3,10,82,59,0.00,0.00,0.00
3,11,82,58,0.00,0.00,0.00
3,12,67,43,0.00,0.00,0.00
3,13,62,52,0.00,0.00,0.00
3,14,48,45,0.00,0.00,0.00
3,15,62,43,1.13,0.00,0.00
3,16,48,43,0.00,0.00,0.00
3,17,72,48,0.00,0.00,0.00
3,18,72,48,0.00,0.00,0.00
3,19,64,48,0.00,0.00,0.00
3,20,63,39,0.00,0.00,0.00
3,21,42,34,0.10,0.00,0.00
3,22,51,33,0.00,0.00,0.00
3,23,59,36,0.00,0.00,0.00
3,24,62,46,0.00,0.00,0.00
3,25,74,46,0.00,0.00,0.00
3,26,72,51,,0.00,0.00
3,27,48,43,0.00,,
3,28,58,43,0.43,0.00,0.00
3,29,67,45,0.00,0.00,0.00
3,30,60,38,0.00,0.00,0.00
3,31,59,38,0.00,0.00,0.00
4,1,73,49,0.00,0.00,0.00
4,2,79,65,0.13,0.00,0.00
4,3,67,43,0.20,0.00,0.00
4,4,46,34,0.00,0.00,0.00
4,5,63,36,0.10,0.00,0.00
4,6,45,32,0.00,0.00,0.00
4,7,54,32,0.00,0.00,0.00
4,8,61,48,0.13,0.00,0.00
4,9,51,41,0.02,0.00,0.00
4,10,43,34,0.43,0.43,0.00
4,11,50,30,0.03,0.00,0.00
4,12,68,42,0.19,0.00,0.00
4,13,62,47,0.16,0.00,0.00
4,14,58,40,0.00,0.00,0.00
4,15,62,42,0.00,0.00,0.00
4,16,65,43,0.00,0.00,0.00
4,17,68,44,0.00,0.00,0.00
4,18,75,44,0.00,0.00,0.00
4,19,83,53,0.00,0.00,0.00
4,20,76,56,0.00,0.00,0.00
4,21,72,49,0.00,0.00,0.00
